Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Ibrido vs Benzina,is_Diesel vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
26125,2,75567,1,110,1,119,0,1,1,0,0,0,0,0
26900,3,73083,1,110,1,285,1,0,1,0,0,1,0,0
28900,2,16000,1,110,1,162,1,0,1,0,0,1,0,0
27900,2,26953,0,110,1,42,0,1,1,0,0,0,0,0
25800,3,30729,1,110,1,121,1,0,0,0,1,1,0,0
29990,3,31600,1,110,1,261,1,0,1,0,0,0,1,0
27500,2,90420,1,110,1,202,0,1,0,0,0,0,1,0
27900,2,22523,0,110,1,127,0,1,1,0,0,0,0,0
28900,3,44123,1,110,1,326,1,0,1,0,0,0,1,0
26500,5,113028,1,110,1,156,0,1,0,1,0,1,0,0
26500,4,38658,1,110,1,140,1,0,0,0,0,0,1,0
27400,3,47500,1,110,1,216,0,1,0,0,1,1,0,0
26900,2,26143,0,110,1,533,0,0,1,0,0,0,0,1
29800,3,34632,1,110,1,197,0,0,0,0,0,1,0,0
29800,4,59675,1,110,1,197,0,0,1,0,0,1,0,0
28500,3,50600,1,110,1,231,0,0,0,0,1,0,0,0
29900,2,19109,1,110,1,177,0,1,1,0,0,1,0,0
29990,1,25000,1,110,1,165,1,0,0,0,1,1,0,0
29900,2,19882,1,110,1,177,0,1,1,0,0,1,0,0
27800,3,36818,1,110,1,102,0,1,0,0,1,1,0,0
25500,4,93000,1,110,1,114,0,1,0,1,0,1,0,0
29800,2,12000,1,110,1,683,0,1,1,0,0,0,0,1
